0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0.0,0.0,0.0,1032.99,172.909,0.662454,1150.5,168.963,0.607195,1226.87,296.357,0.629187,0.0,0.0,0.0,927.145,174.867,0.597367,805.703,290.432,0.713835,866.453,304.168,0.140945,995.76,468.738,0.200175,1072.16,494.208,0.168352,0.0,0.0,0.0,0.0,0.0,0.0,933.066,443.252,0.159135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.346,55.3092,0.0503204,0.0,0.0,0.0,948.682,71.0945,0.571783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1032.97,165.148,0.656538,1146.61,165.135,0.59633,1230.86,288.495,0.617831,1279.84,163.137,0.134962,927.164,167.05,0.599058,805.765,290.425,0.65534,868.424,302.195,0.138352,999.663,464.811,0.145026,1076.08,496.168,0.119368,0.0,0.0,0.0,0.0,0.0,0.0,940.882,441.301,0.12068,866.412,402.12,0.0931991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.757,76.8766,0.509704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1038.86,163.156,0.671513,1150.49,165.056,0.593811,1246.53,280.631,0.630415,1262.29,145.491,0.429813,931.114,165.051,0.624881,817.435,276.726,0.563227,0.0,0.0,0.0,1040.79,470.684,0.094423,1109.38,474.618,0.0977579,0.0,0.0,0.0,0.0,0.0,0.0,962.417,439.341,0.085703,0.0,0.0,0.0,0.0,0.0,0.0,1123.07,5.33635,0.143352,0.0,0.0,0.0,1111.31,45.5741,0.60158,946.765,72.9635,0.565889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1038.79,163.08,0.664303,1148.56,155.24,0.566648,1260.19,268.903,0.684793,1262.12,131.753,0.786799,929.12,167.085,0.491123,807.686,257.128,0.434016,0.0,0.0,0.0,1066.27,474.605,0.119727,1132.89,468.728,0.108908,0.0,0.0,0.0,0.0,0.0,0.0,1007.49,472.648,0.094219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.2,41.6184,0.371987,946.734,63.1723,0.255869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1044.76,155.243,0.636711,1152.49,149.404,0.588459,1264.18,261.04,0.67349,1264.14,116.153,0.681743,931.087,163.114,0.479475,831.192,239.523,0.399409,0.0,0.0,0.0,1056.44,460.892,0.145551,1119.18,470.694,0.125138,0.0,0.0,0.0,0.0,0.0,0.0,989.875,441.299,0.105309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.18,43.605,0.755292,946.767,67.0651,0.391911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1050.62,159.212,0.605888,1156.38,149.362,0.555317,1279.83,257.155,0.696097,1264.23,106.269,0.651041,935.004,167.033,0.3561,831.181,225.782,0.35212,0.0,0.0,0.0,1060.4,429.548,0.132536,1123.08,456.96,0.110703,0.0,0.0,0.0,0.0,0.0,0.0,1005.52,429.548,0.101827,0.0,0.0,0.0,0.0,0.0,0.0,1148.51,22.0777,0.146766,0.0,0.0,0.0,1121.22,45.5679,0.736831,950.682,57.322,0.427828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1048.63,174.831,0.35708,1162.25,165.083,0.4669,1279.84,288.532,0.386774,1279.84,125.872,0.289956,935.021,182.697,0.22257,982.036,310.041,0.115658,1085.87,347.255,0.272567,1066.27,451.102,0.0840972,1125.04,470.683,0.0697784,0.0,0.0,0.0,0.0,0.0,0.0,1015.33,439.346,0.0945273,0.0,0.0,0.0,0.0,0.0,0.0,1142.64,33.8065,0.129955,0.0,0.0,0.0,1121.2,65.1065,0.644809,958.502,72.971,0.236325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1056.48,196.384,0.334653,1177.92,206.184,0.369384,0.0,0.0,0.0,0.0,0.0,0.0,950.666,192.501,0.36586,0.0,0.0,0.0,0.0,0.0,0.0,1056.46,507.901,0.0520453,987.901,472.641,0.0500454,0.0,0.0,0.0,0.0,0.0,0.0,1128.95,492.244,0.0592778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.93,102.433,0.477535,964.362,96.4861,0.121242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1070.14,208.171,0.53378,1177.94,210.118,0.459786,1279.85,335.462,0.110563,0.0,0.0,0.0,952.661,208.192,0.384777,870.373,272.784,0.146363,0.0,0.0,0.0,1036.88,496.167,0.115123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.79,123.893,0.591177,968.3,110.235,0.230525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1070.15,212.039,0.492751,1183.81,208.185,0.500819,1279.83,355.117,0.0583364,0.0,0.0,0.0,966.367,212.113,0.278071,878.186,268.882,0.265764,0.0,0.0,0.0,1068.22,531.424,0.070925,1117.22,537.3,0.0792756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.664,110.223,0.0997428,1144.64,110.21,0.357281,976.11,116.132,0.412615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
