0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
1072.05,196.432,0.86123,1213.18,368.861,0.356512,1136.77,321.844,0.415063,1040.84,537.284,0.694993,895.777,623.51,0.65978,1279.82,415.812,0.257705,1138.76,715.611,0.247605,915.372,682.253,0.682135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.22,159.16,0.424213,1107.45,163.031,0.857975,0.0,0.0,0.0,1232.77,182.696,0.797551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070.18,196.373,0.848856,1217.12,360.997,0.337957,1142.67,319.849,0.347258,1040.84,539.192,0.69433,893.865,621.59,0.651721,1279.83,404.087,0.24423,1136.75,715.614,0.207068,915.347,682.224,0.688413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.18,159.142,0.338164,1107.38,161.148,0.842611,0.0,0.0,0.0,1230.89,180.749,0.802775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070.13,196.323,0.842108,1213.22,362.927,0.345478,1136.83,321.769,0.388023,1040.81,539.201,0.704782,893.864,621.583,0.678414,1279.82,402.14,0.269246,1136.78,715.616,0.218997,915.384,682.287,0.672939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.12,153.35,0.299177,1105.48,159.2,0.839197,0.0,0.0,0.0,1230.87,180.76,0.800482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068.26,194.542,0.837547,1215.13,364.916,0.351695,1138.8,323.741,0.358458,1040.84,539.243,0.699829,893.873,621.553,0.691954,1279.82,409.939,0.260249,1136.83,715.612,0.228146,915.402,682.294,0.690349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.14,157.199,0.279642,1105.43,159.14,0.840631,0.0,0.0,0.0,1230.78,180.749,0.809974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068.26,194.508,0.837108,1215.15,360.988,0.341163,1138.78,321.794,0.370917,1040.86,539.202,0.713755,889.976,621.579,0.663978,1279.82,402.118,0.273614,1136.78,715.616,0.213955,915.39,682.278,0.684072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.16,155.291,0.217985,1105.43,157.258,0.83696,0.0,0.0,0.0,1228.94,180.729,0.809111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068.25,194.51,0.83755,1215.17,360.96,0.344677,1138.8,319.831,0.379235,1040.86,539.204,0.712144,891.909,621.527,0.67348,1279.82,400.14,0.281191,1138.77,715.616,0.233017,915.469,682.262,0.691803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.16,153.341,0.199251,1105.39,157.201,0.827907,0.0,0.0,0.0,1228.92,180.703,0.823737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070.13,194.465,0.839808,1217.1,362.95,0.335762,1146.58,319.843,0.341163,1040.82,539.207,0.70428,889.944,621.558,0.674034,1279.82,407.982,0.250529,1138.74,715.616,0.261575,915.438,682.235,0.702437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.17,151.391,0.199372,1105.43,155.294,0.827924,0.0,0.0,0.0,1228.91,180.777,0.82602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070.13,194.429,0.833345,1217.1,359.041,0.325857,1144.64,319.825,0.34331,1042.73,537.291,0.674745,893.837,621.529,0.68311,1279.83,400.18,0.240659,1136.79,715.604,0.290047,917.367,682.231,0.695091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.19,151.375,0.209502,1105.41,155.248,0.827969,0.0,0.0,0.0,1228.89,180.756,0.814585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070.12,194.456,0.835994,1217.11,359.034,0.33513,1148.53,321.794,0.34173,1042.79,537.245,0.674937,891.92,619.676,0.679127,1279.82,400.179,0.245072,1134.83,715.606,0.317757,917.321,680.39,0.708733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.23,151.407,0.238964,1105.43,153.341,0.837328,0.0,0.0,0.0,1230.81,178.837,0.825353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070.21,194.41,0.846766,1215.2,359.019,0.356033,1148.52,323.765,0.344301,1042.81,537.305,0.677447,893.833,619.672,0.687765,1279.82,400.153,0.236012,1134.87,715.601,0.307857,917.347,682.212,0.687952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.1,151.316,0.180663,1105.44,153.299,0.831466,0.0,0.0,0.0,1230.87,178.747,0.813679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
