0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
695.966,290.51,0.928899,748.929,319.795,0.643764,727.341,304.2,0.521822,709.669,335.531,0.581627,656.799,333.489,0.768235,776.319,333.557,0.673904,805.625,417.81,0.79379,807.627,462.794,0.115863,766.5,449.134,0.271124,737.146,433.458,0.277564,668.552,431.542,0.772563,617.576,511.875,0.616599,791.989,462.883,0.204192,682.24,480.535,0.572301,619.527,554.907,0.563811,682.229,274.691,0.962478,713.635,274.784,0.926581,0.0,0.0,0.0,762.648,270.818,0.687562,562.795,531.444,0.457879,572.533,541.297,0.405145,617.645,566.662,0.383384,574.543,527.495,0.350094,578.439,521.647,0.362282,615.602,519.679,0.285562
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697.914,284.578,0.890767,758.615,310.056,0.616702,731.263,292.441,0.442196,713.615,333.544,0.610478,664.577,321.718,0.888133,782.164,325.739,0.638059,805.755,415.759,0.845526,727.404,472.624,0.765784,772.365,451.103,0.307419,742.994,431.499,0.329051,670.571,429.515,0.674087,613.679,507.906,0.620198,805.678,470.711,0.246148,680.264,480.502,0.535305,619.59,552.949,0.490556,688.133,261.127,0.844566,715.611,270.805,0.871759,0.0,0.0,0.0,774.324,263.004,0.679748,562.779,533.356,0.344465,572.592,543.176,0.341233,617.591,558.884,0.3308,566.701,525.491,0.528122,568.621,517.728,0.488023,609.804,511.861,0.355696
697.907,272.882,0.939247,760.598,306.093,0.672444,737.146,288.509,0.491114,719.5,333.517,0.497005,668.611,317.872,0.760505,786.122,321.742,0.668549,807.591,409.911,0.798209,727.358,462.87,0.770741,776.329,449.126,0.314799,745.0,429.506,0.339011,672.496,423.692,0.695504,611.73,502.042,0.59564,811.569,470.673,0.280641,682.219,478.582,0.580336,619.512,543.226,0.528517,693.947,257.033,0.865082,715.618,259.059,0.91188,0.0,0.0,0.0,774.379,259.127,0.742611,560.809,525.534,0.432243,572.511,539.193,0.40516,615.616,554.938,0.388553,562.803,519.639,0.487728,566.703,509.949,0.46869,607.87,509.832,0.41486
697.961,261.092,0.898189,762.605,296.326,0.618875,739.086,280.666,0.43752,729.343,323.774,0.409815,678.373,306.116,0.791926,789.997,308.052,0.645094,807.579,400.136,0.843945,727.329,447.272,0.746095,780.255,447.219,0.346831,750.847,427.59,0.331782,674.43,415.85,0.767382,611.773,494.241,0.657483,809.632,464.84,0.316902,686.184,472.652,0.580247,619.537,539.235,0.562574,695.885,241.53,0.928775,717.529,247.347,0.838563,0.0,0.0,0.0,774.292,245.432,0.625327,558.878,511.847,0.538109,570.598,525.518,0.510492,609.819,550.995,0.407028,564.741,504.029,0.464515,568.647,498.101,0.449327,607.873,504.012,0.390924
698.004,251.289,0.866714,770.447,290.452,0.608432,746.925,274.775,0.46057,733.224,319.783,0.434601,682.248,298.301,0.773928,790.085,304.162,0.646354,807.586,396.175,0.787521,731.249,439.346,0.57269,790.0,445.186,0.292778,758.71,419.772,0.261724,678.328,411.912,0.73741,605.939,492.144,0.645604,813.557,458.908,0.265937,694.034,462.798,0.578335,619.542,531.454,0.524786,697.882,229.787,0.839162,717.547,239.52,0.871586,0.0,0.0,0.0,774.382,241.516,0.720494,556.974,509.864,0.429099,570.583,523.575,0.406008,613.671,541.187,0.395488,564.723,500.056,0.488145,566.692,494.177,0.507263,605.897,498.109,0.455496
699.968,241.524,0.907313,772.413,288.486,0.652707,748.875,272.83,0.475778,735.191,315.927,0.352338,684.204,290.432,0.847686,792.013,300.249,0.631436,805.754,388.428,0.794995,715.61,419.795,0.604834,782.181,437.369,0.29188,756.709,417.812,0.263389,674.455,408.001,0.607791,607.871,484.428,0.618903,807.638,449.143,0.276012,684.285,453.083,0.408994,617.688,525.587,0.519011,698.053,225.739,0.762227,719.492,227.838,0.863492,0.0,0.0,0.0,774.323,231.676,0.672065,558.854,507.859,0.391847,570.631,521.565,0.369905,615.628,537.277,0.385596,560.781,494.159,0.543982,562.749,490.238,0.509462,607.819,494.249,0.435638
709.624,237.518,0.845466,778.321,288.409,0.626852,760.628,272.857,0.469751,741.07,321.823,0.284604,693.981,288.492,0.79733,801.776,294.404,0.619078,805.666,386.419,0.808273,709.697,413.946,0.660202,774.315,431.506,0.296075,745.002,413.87,0.266493,674.453,404.107,0.618624,607.88,480.497,0.659152,797.859,443.282,0.254026,686.228,456.941,0.395355,619.532,525.524,0.496878,709.67,219.931,0.564333,725.363,225.774,0.89426,0.0,0.0,0.0,776.394,227.854,0.742368,558.91,507.877,0.357887,572.527,521.598,0.355338,615.633,533.415,0.345342,558.873,492.267,0.580127,560.81,486.383,0.534232,607.854,494.171,0.43731
711.706,229.726,0.92822,776.284,288.45,0.723693,752.811,274.768,0.545027,741.024,321.794,0.244403,695.979,286.556,0.837723,799.799,294.406,0.637533,805.595,384.552,0.793277,703.808,400.154,0.758278,772.379,427.577,0.337924,744.962,411.896,0.316449,662.654,411.908,0.719009,607.797,478.585,0.655093,793.958,437.387,0.29473,680.305,453.063,0.639037,617.645,523.574,0.532592,711.711,214.059,0.496213,729.215,221.836,0.889199,0.0,0.0,0.0,778.32,225.798,0.745932,558.897,502.017,0.447257,570.654,511.857,0.445968,613.697,531.406,0.395247,562.781,490.274,0.540175,566.7,480.544,0.513334,605.893,492.242,0.39484
715.586,225.833,0.933233,780.252,280.636,0.655402,756.691,270.824,0.526769,744.957,327.673,0.293952,697.989,284.6,0.834446,807.599,290.4,0.679454,805.624,384.425,0.82414,701.859,386.458,0.740547,776.314,429.572,0.222099,750.853,417.79,0.19918,666.571,402.175,0.353314,607.84,480.465,0.420394,803.741,443.26,0.190517,680.383,445.277,0.400289,615.665,519.625,0.420396,713.693,210.072,0.716757,733.183,212.046,0.882633,0.0,0.0,0.0,788.063,216.022,0.699043,556.933,492.288,0.488998,568.654,507.845,0.437371,609.782,527.486,0.378125,558.883,480.536,0.428255,566.699,478.572,0.413838,604.026,482.499,0.187637
723.409,212.068,0.888128,788.058,270.892,0.678566,760.672,257.106,0.520332,744.933,308.108,0.327891,697.892,272.763,0.860373,809.658,280.659,0.630903,803.762,370.77,0.789707,697.939,368.847,0.830077,762.64,419.781,0.285762,741.043,406.042,0.275473,666.662,376.68,0.457196,611.727,472.662,0.3684,791.991,435.427,0.231844,678.345,433.476,0.283269,617.65,507.947,0.225664,725.415,196.387,0.309656,739.092,198.386,0.849026,0.0,0.0,0.0,791.987,210.102,0.720978,556.915,478.566,0.370097,568.64,494.174,0.321967,609.817,517.72,0.210094,560.812,474.57,0.483962,566.693,470.701,0.428816,613.729,505.909,0.19763
