0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
864.443,304.195,0.772969,897.746,343.34,0.752342,827.223,331.572,0.759765,776.306,398.277,0.748789,764.572,372.763,0.662537,962.447,357.098,0.645466,1001.6,407.972,0.645639,935.022,319.894,0.797792,813.549,523.632,0.592102,776.292,505.966,0.566298,694.008,556.973,0.804559,631.371,684.259,0.681318,850.782,541.239,0.505569,770.46,649.021,0.423464,0.0,0.0,0.0,852.632,282.615,0.732567,886.068,290.557,0.729554,0.0,0.0,0.0,960.495,288.496,0.814359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.526,699.956,0.309308,574.525,696.036,0.349224,637.225,697.972,0.392064
868.463,308.066,0.788166,897.809,341.377,0.775747,829.184,329.642,0.750409,776.328,398.267,0.752155,768.442,376.638,0.650717,964.402,355.081,0.671449,997.77,408.023,0.665386,935.0,321.756,0.819191,811.613,523.567,0.600617,774.396,504.018,0.570281,693.979,556.95,0.80218,633.289,682.277,0.75541,850.792,539.301,0.512522,768.502,648.96,0.474854,0.0,0.0,0.0,856.6,288.501,0.844191,893.874,294.415,0.711057,0.0,0.0,0.0,960.49,288.527,0.829635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.394,699.986,0.316849,576.515,696.02,0.366189,639.214,695.95,0.473152
874.295,313.982,0.689769,899.708,341.411,0.765934,831.18,331.579,0.740084,776.398,400.114,0.698972,768.47,376.638,0.651704,966.363,355.142,0.642621,997.672,411.948,0.682244,934.991,321.871,0.814383,815.504,523.553,0.587912,776.325,503.973,0.546343,692.042,556.954,0.787076,629.392,682.25,0.691744,852.706,541.242,0.503541,770.458,648.941,0.441243,0.0,0.0,0.0,860.525,290.461,0.760059,901.689,302.218,0.736216,838.955,270.879,0.0961037,962.39,290.43,0.840433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.532,697.956,0.347956,574.543,694.033,0.363889,637.198,695.987,0.460992
878.188,313.993,0.700951,901.625,337.571,0.819361,835.036,333.491,0.763578,776.256,398.198,0.769794,768.498,372.737,0.68646,970.253,351.155,0.700186,995.754,413.908,0.728961,935.048,327.652,0.769117,817.435,521.628,0.581819,776.341,502.047,0.547234,692.065,556.936,0.784496,623.509,684.292,0.592544,852.729,541.184,0.50776,770.409,648.95,0.509413,0.0,0.0,0.0,862.531,290.52,0.775124,901.768,302.167,0.767907,839.06,274.755,0.0788558,962.35,290.459,0.832787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.567,697.901,0.300891,574.514,694.033,0.316041,633.254,698.015,0.303763
870.377,312.009,0.697863,899.753,337.494,0.847501,835.019,331.593,0.758581,776.368,398.239,0.744529,772.328,372.755,0.704413,968.323,349.224,0.726553,995.698,415.89,0.746656,935.001,331.612,0.798608,819.398,521.624,0.582677,778.269,502.042,0.533679,690.095,556.901,0.79642,623.528,682.301,0.65676,854.687,541.183,0.49281,772.393,646.994,0.518738,0.0,0.0,0.0,856.653,288.52,0.721033,899.787,302.242,0.688439,839.096,272.824,0.0789251,962.333,290.461,0.828868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.614,698.007,0.350572,572.536,695.912,0.376909,635.224,696.0,0.413779
868.423,310.016,0.715177,899.804,339.46,0.818522,835.05,331.601,0.763974,780.216,400.107,0.728536,768.495,374.691,0.653659,970.29,351.211,0.716795,995.69,417.815,0.70231,935.013,331.612,0.781441,815.483,523.615,0.58335,776.328,505.914,0.540179,688.184,556.954,0.782203,617.695,684.222,0.649789,850.785,543.178,0.504326,770.448,648.92,0.485076,0.0,0.0,0.0,854.695,286.491,0.71136,901.681,302.133,0.676101,0.0,0.0,0.0,962.496,288.56,0.853876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.619,698.031,0.376134,568.617,695.911,0.417624,625.468,697.953,0.312419
872.348,310.013,0.702671,899.743,339.475,0.818794,833.143,333.478,0.771043,784.154,400.224,0.711564,768.47,376.631,0.640005,968.325,351.251,0.737462,993.847,417.85,0.726067,935.044,333.52,0.788137,817.419,523.552,0.57101,776.313,504.001,0.52884,690.074,556.88,0.782668,615.67,686.2,0.596405,852.759,541.213,0.498402,772.412,641.171,0.573612,0.0,0.0,0.0,858.634,288.531,0.725202,903.63,300.219,0.732865,840.933,272.797,0.102741,960.496,290.374,0.843178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.665,697.99,0.359799,566.673,695.914,0.395105,617.637,699.947,0.28057
882.108,315.885,0.72735,899.729,337.567,0.830667,835.055,331.574,0.771976,782.192,400.226,0.706582,768.448,376.649,0.647517,968.302,351.192,0.736637,993.76,419.724,0.745808,936.939,333.53,0.780596,817.44,521.604,0.548165,776.328,502.005,0.515445,690.092,556.979,0.767814,619.581,682.248,0.684358,854.63,539.289,0.480446,772.344,648.99,0.495861,0.0,0.0,0.0,868.309,296.297,0.812997,903.626,300.263,0.755032,842.928,274.8,0.200352,962.333,288.505,0.852116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.666,697.972,0.386922,566.675,694.035,0.40831,629.356,695.948,0.368293
882.048,317.815,0.755111,899.748,339.483,0.806035,835.035,333.522,0.792509,780.254,400.24,0.699091,766.549,376.634,0.641937,968.343,353.074,0.737266,993.723,421.709,0.75005,937.009,335.443,0.785438,817.424,523.534,0.561221,776.288,503.989,0.528441,692.033,556.985,0.77384,619.591,684.216,0.668421,852.767,541.212,0.481752,772.34,645.07,0.487282,0.0,0.0,0.0,868.294,294.399,0.843171,903.664,300.253,0.75432,842.959,272.867,0.312825,962.493,288.536,0.908302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.672,698.05,0.370067,568.612,695.955,0.398451,631.317,697.895,0.374247
884.062,315.885,0.807101,899.733,339.479,0.797891,835.022,333.576,0.788386,788.03,407.987,0.62647,772.354,382.442,0.640628,968.317,351.227,0.735721,991.829,419.739,0.761884,936.929,333.535,0.78151,815.526,523.553,0.535536,776.301,503.955,0.513568,692.049,558.844,0.76912,627.413,682.348,0.620051,852.757,541.244,0.457284,772.342,648.923,0.527113,0.0,0.0,0.0,868.343,298.254,0.858282,905.64,298.247,0.746107,842.897,274.841,0.456797,964.311,288.472,0.890643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.555,697.932,0.300467,578.427,694.029,0.329389,635.217,697.886,0.36385
