0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
333.524,327.701,0.810354,239.536,376.63,0.560108,192.511,386.512,0.524206,147.439,460.894,0.683293,231.671,454.987,0.6918,290.454,362.969,0.390099,337.466,408.013,0.153554,368.767,433.498,0.436287,304.2,537.247,0.481229,261.074,551.023,0.386355,351.143,568.62,0.742304,478.551,617.69,0.427621,345.318,515.745,0.451037,404.056,521.627,0.54202,492.268,588.265,0.222523,317.853,317.879,0.899567,0.0,0.0,0.0,245.464,323.762,0.846786,0.0,0.0,0.0,539.211,564.712,0.154182,539.194,566.663,0.147189,529.447,598.041,0.140674,0.0,0.0,0.0,0.0,0.0,0.0,484.434,625.477,0.0715097
333.475,331.621,0.810398,239.532,374.663,0.528877,192.48,386.459,0.509767,147.444,460.893,0.652966,231.688,455.044,0.674959,290.447,362.964,0.367766,339.431,411.924,0.16297,368.829,441.323,0.485269,308.109,535.328,0.492089,268.91,552.944,0.383386,351.159,568.655,0.706751,482.451,619.553,0.390803,349.208,513.793,0.479735,404.111,523.519,0.536179,494.2,590.193,0.255123,317.802,319.806,0.90697,321.85,319.697,0.0573317,245.41,323.77,0.853112,0.0,0.0,0.0,539.197,564.749,0.176514,537.285,564.757,0.160557,533.373,603.904,0.165267,535.316,615.645,0.0839827,0.0,0.0,0.0,539.238,611.735,0.153398
333.477,331.603,0.808732,239.512,370.818,0.570732,192.465,384.57,0.544455,147.499,460.86,0.694739,233.664,456.926,0.704822,288.465,359.041,0.386172,329.61,408.004,0.167929,360.979,433.512,0.462688,306.105,535.326,0.500792,264.963,551.035,0.386716,351.155,568.591,0.716239,480.473,619.57,0.387265,345.284,513.808,0.476611,404.05,521.626,0.656303,496.141,590.203,0.299469,317.827,319.808,0.914264,0.0,0.0,0.0,245.438,323.817,0.833313,0.0,0.0,0.0,533.382,568.629,0.0883736,533.362,568.668,0.0988826,539.231,603.906,0.185238,537.304,617.64,0.103202,509.877,635.277,0.0913469,543.176,613.691,0.175121
333.5,331.597,0.8192,241.43,376.623,0.597588,190.51,390.364,0.506551,149.385,462.839,0.658966,237.563,458.859,0.729637,290.472,359.051,0.43293,347.235,411.941,0.327841,368.838,433.455,0.701212,310.014,535.302,0.544726,270.839,552.981,0.434708,353.07,568.574,0.753748,478.548,619.566,0.394367,349.215,511.866,0.544885,404.128,519.693,0.716188,498.153,594.117,0.281109,317.857,319.799,0.915711,321.823,317.83,0.0539438,247.326,325.714,0.824323,0.0,0.0,0.0,521.611,568.558,0.0578978,0.0,0.0,0.0,539.231,619.596,0.181555,541.261,617.624,0.0788651,0.0,0.0,0.0,547.098,613.681,0.201169
333.578,329.655,0.817794,231.711,370.805,0.519941,188.57,386.49,0.51397,149.43,462.908,0.647937,239.478,460.892,0.662264,282.629,357.09,0.341359,333.54,408.004,0.19214,364.833,439.327,0.590087,312.005,535.326,0.48902,272.846,552.979,0.374281,351.246,568.57,0.7242,480.53,619.545,0.368566,349.216,513.808,0.486739,406.066,523.5,0.60626,496.158,594.125,0.249918,317.885,319.776,0.918889,0.0,0.0,0.0,247.391,323.833,0.822022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.185,607.837,0.145154,539.284,619.61,0.101941,505.952,639.156,0.0980329,547.094,615.648,0.1766
335.436,327.685,0.827298,233.645,374.687,0.506976,190.538,390.375,0.504141,151.371,464.789,0.608358,237.564,462.841,0.479194,284.587,360.993,0.344295,333.552,406.05,0.205302,364.841,435.427,0.571615,310.073,537.272,0.501366,272.804,554.876,0.400879,353.09,566.673,0.724247,482.485,619.517,0.36944,351.123,517.687,0.497139,407.965,521.625,0.633593,494.246,592.202,0.265135,317.913,317.904,0.908021,0.0,0.0,0.0,249.292,323.789,0.827632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.229,609.785,0.142275,541.236,617.655,0.120378,511.848,635.3,0.097599,545.15,611.736,0.208262
335.51,325.705,0.854841,241.469,370.822,0.531199,188.577,388.396,0.489834,151.325,466.811,0.568451,239.456,462.854,0.512535,294.386,359.037,0.377524,337.517,407.987,0.224785,366.873,439.344,0.573249,313.935,535.319,0.521816,272.859,552.963,0.436019,353.112,568.573,0.743164,482.479,619.536,0.379403,351.176,513.826,0.521544,408.009,521.637,0.658565,494.183,590.25,0.308245,319.773,317.837,0.898351,333.475,308.117,0.0543021,251.265,323.824,0.814768,0.0,0.0,0.0,535.336,556.865,0.0548295,533.373,558.852,0.0671415,537.313,611.729,0.15686,539.261,619.566,0.0849561,0.0,0.0,0.0,549.045,609.774,0.221142
335.56,325.751,0.852041,241.429,372.747,0.544612,190.521,388.403,0.501645,149.477,464.823,0.616734,239.474,462.882,0.541225,294.378,360.967,0.408895,349.222,413.85,0.338586,368.888,437.423,0.640158,312.015,535.346,0.531369,272.81,554.862,0.443274,353.09,568.592,0.745123,492.247,617.688,0.358554,351.206,513.805,0.530265,409.931,523.561,0.563091,505.94,601.932,0.209384,319.819,317.863,0.910341,0.0,0.0,0.0,253.198,325.682,0.818866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.353,605.895,0.162196,541.208,617.586,0.0875951,0.0,0.0,0.0,541.255,615.629,0.203945
335.54,327.665,0.845843,241.519,376.623,0.55701,190.55,390.359,0.522685,155.291,464.874,0.598254,237.56,462.934,0.648145,300.233,364.858,0.43136,347.243,413.834,0.281355,368.83,441.327,0.60725,310.057,537.309,0.542359,272.803,554.881,0.456837,353.076,566.706,0.746569,494.191,619.526,0.354229,351.117,519.631,0.523183,409.917,523.54,0.661577,498.102,594.144,0.256194,319.829,317.842,0.906835,0.0,0.0,0.0,253.189,325.7,0.817085,0.0,0.0,0.0,519.701,558.838,0.0910734,517.745,556.945,0.0830039,537.321,615.64,0.166167,541.196,617.593,0.0749899,515.763,635.301,0.0760166,543.225,611.74,0.217257
335.554,327.713,0.853437,241.471,378.598,0.588011,188.595,392.318,0.532516,161.162,466.78,0.624757,233.651,468.749,0.632963,296.322,364.915,0.444067,339.455,411.93,0.266155,366.901,443.245,0.569324,308.119,537.307,0.527756,268.907,554.887,0.410842,353.077,566.707,0.764489,480.518,619.573,0.408423,349.218,517.722,0.513672,404.123,521.626,0.692413,498.114,594.122,0.306925,319.831,317.873,0.909848,333.482,310.097,0.0532932,253.195,325.722,0.817473,0.0,0.0,0.0,541.224,570.578,0.117613,541.239,570.643,0.11584,535.329,613.687,0.179572,539.24,613.689,0.104939,515.749,635.222,0.103977,543.199,617.617,0.200915
